Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Bovenweg 223,Sint Pancras,€ 525.000,251 m²,135 m²,1972.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",6.035,525000.0,135.0,251.0,4.0,5,Eengezinswoning,Back Garden,3888.8888888888887
Julianastraat 19,Waddinxveen,€ 425.000,181 m²,109 m²,1935.0,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.435,425000.0,109.0,181.0,3.0,4,Herenhuis,Back Garden,3899.0825688073396
Kuipersgilde 3,Houten,€ 575.000,198 m²,138 m²,1986.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,1.855,575000.0,138.0,198.0,4.0,5,Eengezinswoning,Back Garden,4166.666666666667
De Kamp 1 A,Pannerden,€ 259.500,231 m²,92 m²,1989.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.190,259500.0,92.0,231.0,3.0,5,Eengezinswoning,Back Garden,2820.6521739130435
Wildrijklaan 8,Sassenheim,€ 1.050.000,423 m²,210 m²,2000.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.340,1050000.0,210.0,423.0,5.0,6,Eengezinswoning,Back Garden,5000.0
Tol 4,Oudewater,€ 445.000,127 m²,126 m²,2016.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.745,445000.0,126.0,127.0,4.0,5,Eengezinswoning,Back Garden,3531.746031746032
Furkabaan 698,Utrecht,€ 425.000,170 m²,87 m²,1984.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,7.080,425000.0,87.0,170.0,3.0,5,Eengezinswoning,Back Garden,4885.057471264367
Abeelstraat 71,Dordrecht,€ 825.000,413 m²,232 m²,1974.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,5.090,825000.0,232.0,413.0,6.0,7,Eengezinswoning,Back Garden,3556.0344827586205
Overegge 8,Zuidveen,€ 249.500,235 m²,124 m²,1920.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,580,249500.0,124.0,235.0,4.0,5,Eengezinswoning,Front Garden,2012.0967741935483
Gaasterland 59,Amstelveen,€ 550.000,137 m²,111 m²,1992.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,550000.0,111.0,137.0,3.0,4,Eengezinswoning,Back Garden,4954.954954954955
